motif	gene_symbol
SHOX2.H13CORE.1.S.C	SHOX2
TPRX1.H13CORE.0.PSGIB.A	TPRX1
UNC4.H13CORE.0.S.B	UNCX
UNC4.H13CORE.1.S.B	UNCX
VSX1.H13CORE.0.SM.B	VSX1
VSX1.H13CORE.1.SM.B	VSX1
VSX2.H13CORE.0.PSM.A	VSX2
VSX2.H13CORE.1.S.B	VSX2
AHR.H13CORE.0.P.B	AHR
AHRR.H13CORE.0.P.C	AHRR
ARNT.H13CORE.0.P.B	ARNT
ARNT.H13CORE.1.P.B	ARNT
ARNT2.H13CORE.0.P.B	ARNT2
ARNT2.H13CORE.1.P.B	ARNT2
ARNT2.H13CORE.2.S.C	ARNT2
BMAL1.H13CORE.0.PSM.A	ARNTL
CLOCK.H13CORE.0.M.C	CLOCK
CLOCK.H13CORE.1.PS.A	CLOCK
EPAS1.H13CORE.0.P.B	EPAS1
HIF1A.H13CORE.0.P.B	HIF1A
HIF1A.H13CORE.1.P.B	HIF1A
HIF3A.H13CORE.0.P.C	HIF3A
HIF3A.H13CORE.1.P.C	HIF3A
NPAS2.H13CORE.0.M.B	NPAS2
NPAS2.H13CORE.1.M.C	NPAS2
NPAS2.H13CORE.2.S.B	NPAS2
NPAS3.H13CORE.0.P.C	NPAS3
NPAS4.H13CORE.0.P.B	NPAS4
SOLH2.H13CORE.0.S.C	SOHLH2
PAX1.H13CORE.0.SM.B	PAX1
PAX2.H13CORE.0.SM.B	PAX2
PAX5.H13CORE.0.PS.A	PAX5
PAX8.H13CORE.0.PSM.A	PAX8
PAX9.H13CORE.0.SM.B	PAX9
PAX3.H13CORE.0.PS.A	PAX3
PAX3.H13CORE.1.SM.B	PAX3
PAX3.H13CORE.2.P.C	PAX3
PAX3.H13CORE.3.S.B	PAX3
PAX4.H13CORE.0.SM.B	PAX4
PAX4.H13CORE.1.S.C	PAX4
PAX6.H13CORE.0.PSM.A	PAX6
PAX7.H13CORE.0.P.B	PAX7
PAX7.H13CORE.1.S.B	PAX7
PAX7.H13CORE.2.PM.A	PAX7
HMBX1.H13CORE.0.PSM.A	HMBOX1
HNF1A.H13CORE.0.PS.A	HNF1A
HNF1B.H13CORE.0.PS.A	HNF1B
HNF1B.H13CORE.1.P.D	HNF1B
P5F1B.H13CORE.0.S.B	POU5F1B
PIT1.H13CORE.0.SM.B	POU1F1
PIT1.H13CORE.1.S.B	POU1F1
PO2F1.H13CORE.0.PS.A	POU2F1
PO2F2.H13CORE.0.PSM.A	POU2F2
PO2F2.H13CORE.1.M.C	POU2F2
PO2F2.H13CORE.2.S.B	POU2F2
PO2F3.H13CORE.0.PS.A	POU2F3
PO2F3.H13CORE.1.S.C	POU2F3
PO3F1.H13CORE.0.P.B	POU3F1
PO3F1.H13CORE.1.PS.A	POU3F1
PO3F1.H13CORE.2.S.C	POU3F1
PO3F1.H13CORE.3.M.C	POU3F1
PO3F2.H13CORE.0.P.B	POU3F2
PO3F2.H13CORE.1.S.B	POU3F2
PO3F2.H13CORE.2.SM.B	POU3F2
PO3F3.H13CORE.0.P.C	POU3F3
PO3F3.H13CORE.1.P.C	POU3F3
PO3F3.H13CORE.2.S.B	POU3F3
PO3F4.H13CORE.0.SM.B	POU3F4
PO4F1.H13CORE.0.S.B	POU4F1
PO4F1.H13CORE.1.SM.B	POU4F1
PO4F2.H13CORE.0.S.B	POU4F2
PO4F3.H13CORE.0.SM.B	POU4F3
PO5F1.H13CORE.0.P.B	POU5F1
PO5F1.H13CORE.1.P.B	POU5F1
PO5F1.H13CORE.2.SM.B	POU5F1
PO6F1.H13CORE.0.SM.B	POU6F1
PO6F2.H13CORE.0.S.B	POU6F2
PURB.H13CORE.0.B.B	PURB
MEF2A.H13CORE.0.P.B	MEF2A
MEF2B.H13CORE.0.PS.A	MEF2B
MEF2B.H13CORE.1.SM.B	MEF2B
MEF2C.H13CORE.0.P.B	MEF2C
MEF2C.H13CORE.1.SM.B	MEF2C
MEF2D.H13CORE.0.PS.A	MEF2D
MEF2D.H13CORE.1.M.C	MEF2D
SRF.H13CORE.0.PSM.A	SRF
RFX1.H13CORE.0.PM.A	RFX1
RFX1.H13CORE.1.PSM.A	RFX1
RFX1.H13CORE.2.S.C	RFX1
RFX2.H13CORE.0.PS.A	RFX2
RFX2.H13CORE.1.PSM.A	RFX2
RFX3.H13CORE.0.PSM.A	RFX3
RFX3.H13CORE.1.PS.A	RFX3
RFX3.H13CORE.2.S.B	RFX3
RFX4.H13CORE.0.SM.B	RFX4
RFX5.H13CORE.0.PSG.A	RFX5
RFX6.H13CORE.0.P.C	RFX6
RFX7.H13CORE.0.SM.B	RFX7
RUNX1.H13CORE.0.P.B	RUNX1
RUNX2.H13CORE.0.P.B	RUNX2
RUNX2.H13CORE.1.S.B	RUNX2
RUNX2.H13CORE.2.M.C	RUNX2
RUNX3.H13CORE.0.P.B	RUNX3
RUNX3.H13CORE.1.S.B	RUNX3
RUNX3.H13CORE.2.S.B	RUNX3
COT1.H13CORE.0.PSM.A	NR2F1
COT1.H13CORE.1.PSM.A	NR2F1
COT2.H13CORE.0.P.B	NR2F2
COT2.H13CORE.1.P.B	NR2F2
HNF4A.H13CORE.0.PSM.A	HNF4A
HNF4G.H13CORE.0.P.B	HNF4G
NR2C1.H13CORE.0.S.C	NR2C1
NR2C1.H13CORE.1.PM.A	NR2C1
NR2C2.H13CORE.0.SM.B	NR2C2
NR2C2.H13CORE.1.PS.A	NR2C2
NR2E1.H13CORE.0.SM.B	NR2E1
NR2E1.H13CORE.1.S.B	NR2E1
NR2F6.H13CORE.0.P.C	NR2F6
NR2F6.H13CORE.1.PSM.A	NR2F6
NR2F6.H13CORE.2.SM.B	NR2F6
NR2F6.H13CORE.3.SM.B	NR2F6
RXRA.H13CORE.0.PS.A	RXRA
RXRA.H13CORE.1.S.C	RXRA
RXRA.H13CORE.2.SM.B	RXRA
RXRA.H13CORE.3.P.B	RXRA
RXRB.H13CORE.0.P.C	RXRB
RXRB.H13CORE.1.SM.B	RXRB
RXRB.H13CORE.2.PS.A	RXRB
RXRG.H13CORE.0.P.B	RXRG
RXRG.H13CORE.1.SM.B	RXRG
RXRG.H13CORE.2.P.B	RXRG
SMAD2.H13CORE.0.P.B	SMAD2
SMAD2.H13CORE.1.P.B	SMAD2
SMAD3.H13CORE.0.S.B	SMAD3
SMAD3.H13CORE.1.P.B	SMAD3
SMAD3.H13CORE.2.P.C	SMAD3
SMAD4.H13CORE.0.P.B	SMAD4
SMAD4.H13CORE.1.P.B	SMAD4
SMAD5.H13CORE.0.M.C	SMAD5
SOX1.H13CORE.0.S.B	SOX1
SOX1.H13CORE.1.S.B	SOX1
SOX10.H13CORE.0.PSM.A	SOX10
SOX10.H13CORE.1.PSM.A	SOX10
SOX10.H13CORE.2.S.C	SOX10
SOX11.H13CORE.0.P.B	SOX11
SOX11.H13CORE.1.S.B	SOX11
SOX12.H13CORE.0.SM.B	SOX12
SOX13.H13CORE.0.P.B	SOX13
SOX14.H13CORE.0.SM.B	SOX14
SOX15.H13CORE.0.P.B	SOX15
SOX17.H13CORE.0.PS.A	SOX17
SOX17.H13CORE.1.P.B	SOX17
SOX17.H13CORE.2.S.C	SOX17
SOX18.H13CORE.0.SM.B	SOX18
SOX2.H13CORE.0.P.B	SOX2
SOX2.H13CORE.1.P.B	SOX2
SOX2.H13CORE.2.S.B	SOX2
SOX2.H13CORE.3.S.B	SOX2
SOX21.H13CORE.0.S.B	SOX21
SOX3.H13CORE.0.PM.A	SOX3
SOX3.H13CORE.1.S.C	SOX3
SOX30.H13CORE.0.P.C	SOX30
SOX30.H13CORE.1.SM.B	SOX30
SOX4.H13CORE.0.PSM.A	SOX4
SOX5.H13CORE.0.P.B	SOX5
SOX6.H13CORE.0.P.B	SOX6
SOX7.H13CORE.0.PS.A	SOX7
SOX7.H13CORE.1.SM.B	SOX7
SOX8.H13CORE.0.PSM.A	SOX8
SOX8.H13CORE.1.PS.A	SOX8
SOX9.H13CORE.0.PS.A	SOX9
SOX9.H13CORE.1.PS.A	SOX9
SOX9.H13CORE.2.S.B	SOX9
SRY.H13CORE.0.S.B	SRY
SRY.H13CORE.1.S.B	SRY
SP100.H13CORE.0.PSGI.A	SP100
SP140.H13CORE.0.PSGIB.A	SP140
SP140L.H13CORE.0.PSGIB.A	SP140L
STA5A.H13CORE.0.P.B	STAT5A
STA5B.H13CORE.0.P.B	STAT5B
STAT1.H13CORE.0.P.B	STAT1
STAT1.H13CORE.1.P.B	STAT1
STAT2.H13CORE.0.P.B	STAT2
STAT3.H13CORE.0.P.B	STAT3
STAT4.H13CORE.0.P.B	STAT4
STAT6.H13CORE.0.P.B	STAT6
ANDR.H13CORE.0.P.B	AR
ANDR.H13CORE.1.S.C	AR
ANDR.H13CORE.2.P.B	AR
ERR1.H13CORE.0.PSM.A	ESRRA
ERR2.H13CORE.0.PSM.A	ESRRB
ERR3.H13CORE.0.PSM.A	ESRRG
ESR1.H13CORE.0.P.B	ESR1
ESR1.H13CORE.1.P.B	ESR1
ESR2.H13CORE.0.P.B	ESR2
ESR2.H13CORE.1.P.B	ESR2
GCR.H13CORE.0.PS.A	NR3C1
GCR.H13CORE.1.S.B	NR3C1
MCR.H13CORE.0.S.B	NR3C2
MCR.H13CORE.1.SM.B	NR3C2
PRGR.H13CORE.0.P.B	PGR
PRGR.H13CORE.1.P.B	PGR
ATOH1.H13CORE.0.P.B	ATOH1
ATOH1.H13CORE.1.SM.B	ATOH1
ATOH8.H13CORE.0.P.C	ATOH8
BHA15.H13CORE.0.P.B	BHLHA15
BHA15.H13CORE.1.SM.B	BHLHA15
BHE22.H13CORE.0.SM.B	BHLHE22
BHE23.H13CORE.0.SM.B	BHLHE23
BHLHA9.H13CORE.0.P.B	BHLHA9
FER3L.H13CORE.0.SM.B	FERD3L
FIGLA.H13CORE.0.SM.B	FIGLA
HAND1.H13CORE.0.P.B	HAND1
HAND1.H13CORE.1.P.B	HAND1
HAND2.H13CORE.0.P.B	HAND2
HAND2.H13CORE.1.P.B	HAND2
HAND2.H13CORE.2.S.C	HAND2
HEN1.H13CORE.0.S.B	NHLH1
HEN2.H13CORE.0.SM.B	NHLH2
LYL1.H13CORE.0.P.C	LYL1
LYL1.H13CORE.1.P.C	LYL1
MESP1.H13CORE.0.S.C	MESP1
MESP2.H13CORE.0.S.C	MESP2
MSGN1.H13CORE.0.PSM.A	MSGN1
MUSC.H13CORE.0.SM.B	MSC
NDF1.H13CORE.0.P.B	NEUROD1
NDF1.H13CORE.1.S.C	NEUROD1
NDF2.H13CORE.0.P.B	NEUROD2
NDF2.H13CORE.1.S.B	NEUROD2
NGN1.H13CORE.0.SM.B	NEUROG1
NGN2.H13CORE.0.P.B	NEUROG2
NGN2.H13CORE.1.SM.B	NEUROG2
OLIG1.H13CORE.0.S.B	OLIG1
OLIG2.H13CORE.0.P.B	OLIG2
OLIG2.H13CORE.1.P.B	OLIG2
OLIG2.H13CORE.2.SM.B	OLIG2
OLIG3.H13CORE.0.SM.B	OLIG3
PTF1A.H13CORE.0.P.B	PTF1A
PTF1A.H13CORE.1.PS.A	PTF1A
TAL1.H13CORE.0.P.B	TAL1
TAL1.H13CORE.1.P.B	TAL1
TAL1.H13CORE.2.P.B	TAL1
TCF21.H13CORE.0.PS.A	TCF21
TCF21.H13CORE.1.SM.B	TCF21
TWST1.H13CORE.0.P.B	TWIST1
TWST1.H13CORE.1.P.B	TWIST1
TWST2.H13CORE.0.P.B	TWIST2
TWST2.H13CORE.1.P.B	TWIST2
IRX1.H13CORE.0.S.C	IRX1
IRX2.H13CORE.0.S.B	IRX2
IRX3.H13CORE.0.M.C	IRX3
IRX3.H13CORE.1.S.B	IRX3
IRX3.H13CORE.2.S.C	IRX3
IRX5.H13CORE.0.M.C	IRX5
IRX5.H13CORE.1.SM.B	IRX5
MEIS1.H13CORE.0.P.B	MEIS1
MEIS1.H13CORE.1.PS.A	MEIS1
MEIS2.H13CORE.0.P.C	MEIS2
MEIS2.H13CORE.1.PSM.A	MEIS2
MEIS2.H13CORE.2.SM.B	MEIS2
MEIS3.H13CORE.0.SM.B	MEIS3
MEIS3.H13CORE.1.S.B	MEIS3
MKX.H13CORE.0.PSGIB.A	MKX
PBX1.H13CORE.0.P.B	PBX1
PBX1.H13CORE.1.P.B	PBX1
PBX1.H13CORE.2.P.B	PBX1
PBX2.H13CORE.0.P.B	PBX2
PBX2.H13CORE.1.P.C	PBX2
PBX2.H13CORE.2.P.C	PBX2
PBX3.H13CORE.0.P.B	PBX3
PBX3.H13CORE.1.P.B	PBX3
PKNX1.H13CORE.0.P.B	PKNOX1
PKNX1.H13CORE.1.P.B	PKNOX1
PKNX1.H13CORE.2.SM.B	PKNOX1
PKNX1.H13CORE.3.SM.B	PKNOX1
PKNX2.H13CORE.0.SM.B	PKNOX2
PKNX2.H13CORE.1.SM.B	PKNOX2
TF2LX.H13CORE.0.SM.B	TGIF2LX
TF2LX.H13CORE.1.SM.B	TGIF2LX
TF2LY.H13CORE.0.SM.B	TGIF2LY
TF2LY.H13CORE.1.SM.B	TGIF2LY
TGIF1.H13CORE.0.PSM.A	TGIF1
TGIF1.H13CORE.1.S.B	TGIF1
TGIF2.H13CORE.0.S.B	TGIF2
TGIF2.H13CORE.1.PSM.A	TGIF2
TBP.H13CORE.0.P.B	TBP
EOMES.H13CORE.0.PSM.A	EOMES
TBR1.H13CORE.0.PS.A	TBR1
TBX21.H13CORE.0.PSM.A	TBX21
TBX1.H13CORE.0.S.B	TBX1
TBX15.H13CORE.0.SM.B	TBX15
TBX18.H13CORE.0.M.C	TBX18
TBX20.H13CORE.0.P.C	TBX20
TBX20.H13CORE.1.M.C	TBX20
TBX20.H13CORE.2.SM.B	TBX20
TBX2.H13CORE.0.SM.B	TBX2
TBX3.H13CORE.0.PSM.A	TBX3
TBX4.H13CORE.0.PS.A	TBX4
TBX4.H13CORE.1.S.B	TBX4
TBX5.H13CORE.0.PS.A	TBX5
TBX5.H13CORE.1.P.B	TBX5
TBX5.H13CORE.2.S.B	TBX5
TBX6.H13CORE.0.PSM.A	TBX6
LEF1.H13CORE.0.PSM.A	LEF1
LEF1.H13CORE.1.P.B	LEF1
TAF1.H13CORE.0.P.B	TAF1
TCF7.H13CORE.0.PSM.A	TCF7
TF7L1.H13CORE.0.PM.A	TCF7L1
TF7L1.H13CORE.1.P.C	TCF7L1
TF7L1.H13CORE.2.S.C	TCF7L1
TF7L2.H13CORE.0.P.B	TCF7L2
TEAD1.H13CORE.0.PSM.A	TEAD1
TEAD1.H13CORE.1.P.C	TEAD1
TEAD1.H13CORE.2.S.C	TEAD1
TEAD2.H13CORE.0.PSM.A	TEAD2
TEAD3.H13CORE.0.PS.A	TEAD3
TEAD3.H13CORE.1.S.B	TEAD3
TEAD4.H13CORE.0.PS.A	TEAD4
TEAD4.H13CORE.1.P.B	TEAD4
GTF2IRD2.H13CORE.0.PS.A	GTF2IRD2
THAP1.H13CORE.0.P.B	THAP1
EGR1.H13CORE.0.PS.A	EGR1
EGR2.H13CORE.0.PSM.A	EGR2
EGR3.H13CORE.0.PSM.A	EGR3
EGR4.H13CORE.0.S.B	EGR4
KLF1.H13CORE.0.P.B	KLF1
KLF10.H13CORE.0.P.C	KLF10
KLF10.H13CORE.1.PSM.A	KLF10
KLF11.H13CORE.0.P.B	KLF11
KLF11.H13CORE.1.SM.B	KLF11
KLF12.H13CORE.0.P.C	KLF12
KLF12.H13CORE.1.PSM.A	KLF12
KLF13.H13CORE.0.PSM.A	KLF13
KLF13.H13CORE.1.P.C	KLF13
KLF14.H13CORE.0.PSM.A	KLF14
KLF14.H13CORE.1.P.C	KLF14
KLF15.H13CORE.0.S.B	KLF15
KLF15.H13CORE.1.P.C	KLF15
KLF16.H13CORE.0.SM.B	KLF16
KLF16.H13CORE.1.P.B	KLF16
KLF17.H13CORE.0.M.C	KLF17
KLF17.H13CORE.1.P.C	KLF17
KLF2.H13CORE.0.S.C	KLF2
KLF3.H13CORE.0.PS.A	KLF3
KLF3.H13CORE.1.M.C	KLF3
KLF4.H13CORE.0.PSM.A	KLF4
KLF5.H13CORE.0.PM.A	KLF5
KLF6.H13CORE.0.P.B	KLF6
KLF6.H13CORE.1.SM.B	KLF6
KLF7.H13CORE.0.P.B	KLF7
KLF8.H13CORE.0.P.C	KLF8
KLF8.H13CORE.1.P.C	KLF8
KLF9.H13CORE.0.P.B	KLF9
KLF9.H13CORE.1.P.B	KLF9
SP1.H13CORE.0.P.B	SP1
SP1.H13CORE.1.SM.B	SP1
SP1.H13CORE.2.P.B	SP1
SP2.H13CORE.0.P.D	SP2
SP2.H13CORE.1.P.B	SP2
SP3.H13CORE.0.P.B	SP3
SP3.H13CORE.1.S.B	SP3
SP4.H13CORE.0.P.C	SP4
SP4.H13CORE.1.S.B	SP4
SP4.H13CORE.2.P.B	SP4
SP5.H13CORE.0.P.B	SP5
SP5.H13CORE.1.P.B	SP5
SP7.H13CORE.0.P.B	SP7
SP8.H13CORE.0.SM.B	SP8
SP9.H13CORE.0.P.B	SP9
SP9.H13CORE.1.S.C	SP9
NR1D1.H13CORE.0.P.B	NR1D1
NR1D1.H13CORE.1.SM.B	NR1D1
NR1D2.H13CORE.0.P.B	NR1D2
NR1D2.H13CORE.1.SM.B	NR1D2
NR1H2.H13CORE.0.P.C	NR1H2
NR1H2.H13CORE.1.P.C	NR1H2
NR1H3.H13CORE.0.P.B	NR1H3
NR1H3.H13CORE.1.P.B	NR1H3
NR1H4.H13CORE.0.P.B	NR1H4
NR1H4.H13CORE.1.P.B	NR1H4
NR1H4.H13CORE.2.P.B	NR1H4
NR1I2.H13CORE.0.M.C	NR1I2
NR1I2.H13CORE.1.S.C	NR1I2
NR1I3.H13CORE.0.P.B	NR1I3
NR1I3.H13CORE.1.PSM.A	NR1I3
NR1I3.H13CORE.2.M.C	NR1I3
PPARA.H13CORE.0.P.B	PPARA
PPARA.H13CORE.1.P.B	PPARA
PPARD.H13CORE.0.PSM.A	PPARD
PPARG.H13CORE.0.P.B	PPARG
PPARG.H13CORE.1.P.B	PPARG
RARA.H13CORE.0.PSM.A	RARA
RARA.H13CORE.1.P.B	RARA
RARA.H13CORE.2.P.B	RARA
RARA.H13CORE.3.P.B	RARA
RARB.H13CORE.0.SM.B	RARB
RARB.H13CORE.1.P.B	RARB
RARG.H13CORE.0.P.B	RARG
RARG.H13CORE.1.PSM.A	RARG
RARG.H13CORE.2.SM.B	RARG
RARG.H13CORE.3.S.B	RARG
RORA.H13CORE.0.P.C	RORA
RORB.H13CORE.0.SM.B	RORB
RORG.H13CORE.0.M.C	RORC
RORG.H13CORE.1.PS.A	RORC
THA.H13CORE.0.P.B	THRA
THA.H13CORE.1.PS.A	THRA
THA.H13CORE.2.S.B	THRA
THB.H13CORE.0.P.B	THRB
THB.H13CORE.1.PSM.A	THRB
THB.H13CORE.2.SM.B	THRB
THB.H13CORE.3.S.C	THRB
VDR.H13CORE.0.PS.A	VDR
VDR.H13CORE.1.PS.A	VDR
HMG20A.H13CORE.0.SB.A	HMG20A
CGGBP1.H13CORE.0.PSGIB.A	CGGBP1
CPEB1.H13CORE.0.S.B	CPEB1
CPEB1.H13CORE.1.S.B	CPEB1
DACH1.H13CORE.0.S.B	DACH1
DACH2.H13CORE.0.S.B	DACH2
DPF1.H13CORE.0.SM.B	DPF1
MBNL2.H13CORE.0.B.B	MBNL2
SKOR1.H13CORE.0.M.C	SKOR1
SKOR1.H13CORE.1.S.C	SKOR1
SKOR2.H13CORE.0.SM.B	SKOR2
TCF20.H13CORE.0.B.B	TCF20
ZN704.H13CORE.0.SM.B	ZN704
ZN821.H13CORE.0.SM.B	ZN821
AHCTF1.H13CORE.0.B.B	AHCTF1
DNTTIP1.H13CORE.0.PSG.A	DNTTIP1
GLYR1.H13CORE.0.B.B	GLYR1
PHF21A.H13CORE.0.B.B	PHF21A
SETBP1.H13CORE.0.B.B	SETBP1
XBP1.H13CORE.0.PS.A	XBP1
XBP1.H13CORE.1.M.B	XBP1
