motif	gene_symbol
FOSB.H13CORE.1.M.C	FOSB
FOSB.H13CORE.2.M.C	FOSB
FOSL1.H13CORE.0.P.B	FOSL1
FOSL2.H13CORE.0.P.B	FOSL2
JDP2.H13CORE.0.SM.B	JDP2
FOXA1.H13CORE.0.P.B	FOXA1
FOXA1.H13CORE.1.S.C	FOXA1
FOXA2.H13CORE.0.PSM.A	FOXA2
FOXA2.H13CORE.1.SM.B	FOXA2
FOXA3.H13CORE.0.PS.A	FOXA3
FOXA3.H13CORE.1.M.C	FOXA3
FOXB1.H13CORE.0.SM.B	FOXB1
FOXC1.H13CORE.0.S.B	FOXC1
FOXC1.H13CORE.1.S.C	FOXC1
FOXC2.H13CORE.0.SM.B	FOXC2
FOXD2.H13CORE.0.S.B	FOXD2
FOXD2.H13CORE.1.SM.B	FOXD2
FOXD3.H13CORE.0.P.C	FOXD3
FOXD3.H13CORE.1.S.B	FOXD3
FOXE1.H13CORE.0.SM.B	FOXE1
FOXE1.H13CORE.1.S.C	FOXE1
FOXF1.H13CORE.0.P.C	FOXF1
FOXG1.H13CORE.0.PSM.A	FOXG1
FOXH1.H13CORE.0.P.B	FOXH1
FOXI1.H13CORE.0.SM.B	FOXI1
FOXJ2.H13CORE.0.PSM.A	FOXJ2
FOXJ2.H13CORE.1.SM.B	FOXJ2
FOXJ2.H13CORE.2.S.B	FOXJ2
FOXJ3.H13CORE.0.SM.B	FOXJ3
FOXK1.H13CORE.0.PS.A	FOXK1
FOXK2.H13CORE.0.P.B	FOXK2
FOXL1.H13CORE.0.S.B	FOXL1
FOXL2.H13CORE.0.PSM.A	FOXL2
FOXM1.H13CORE.0.P.B	FOXM1
FOXO1.H13CORE.0.PS.A	FOXO1
FOXO3.H13CORE.0.PS.A	FOXO3
FOXO4.H13CORE.0.SM.B	FOXO4
FOXO6.H13CORE.0.S.B	FOXO6
FOXP1.H13CORE.0.PS.A	FOXP1
FOXP2.H13CORE.0.P.B	FOXP2
FOXP3.H13CORE.0.P.B	FOXP3
FOXR2.H13CORE.0.M.C	FOXR2
NR5A2.H13CORE.0.PSM.A	NR5A2
STF1.H13CORE.0.PSM.A	NR5A1
GCM1.H13CORE.0.S.B	GCM1
GCM2.H13CORE.0.SM.B	GCM2
NR6A1.H13CORE.0.P.C	NR6A1
NR6A1.H13CORE.1.P.C	NR6A1
NR6A1.H13CORE.2.SM.B	NR6A1
GMEB1.H13CORE.0.P.C	GMEB1
GMEB1.H13CORE.1.P.C	GMEB1
GMEB1.H13CORE.2.SM.B	GMEB1
GMEB2.H13CORE.0.P.C	GMEB2
GMEB2.H13CORE.1.P.C	GMEB2
GMEB2.H13CORE.2.SM.B	GMEB2
GRHL1.H13CORE.0.PSM.A	GRHL1
GRHL1.H13CORE.1.PS.A	GRHL1
GRHL2.H13CORE.0.P.B	GRHL2
GRHL2.H13CORE.1.P.B	GRHL2
GRHL3.H13CORE.0.SB.A	GRHL3
BHE40.H13CORE.0.PSM.A	BHLHE40
BHE40.H13CORE.1.S.C	BHLHE40
BHE41.H13CORE.0.PSM.A	BHLHE41
HES1.H13CORE.0.S.C	HES1
HES1.H13CORE.1.S.C	HES1
HES2.H13CORE.0.S.C	HES2
HES5.H13CORE.0.SM.B	HES5
HES7.H13CORE.0.S.B	HES7
