motif	cluster	gene_symbol	sub_cluster	sub_cluster_name
AhrArnt_MA0006.2	C_Ahr::Arnt	AHR::ARNT	21A	C_HIF1A;HEY1
Alx1_MA0854.2	C_mix-a	ALX1	22B	C_ALX1
ALX3_MA0634.2	C_mix-a	ALX3	3A	C_HOXB3;HOXA2;DLX
Alx4_MA0853.2	C_Alx4	ALX4	22B	C_ALX1
Ar_MA0007.4	C_Pgr	AR	19A	C_AR;NR3C1
ARGFX_MA1463.2	C_mix-a	ARGFX	3A	C_HOXB3;HOXA2;DLX
Arid3a_MA0151.1	C_Arid3a	ARID3A	97A	C_ARID3A
Arid3b_MA0601.2	C_Arid3b	ARID3B	3A	C_HOXB3;HOXA2;DLX
Arid5a_MA0602.2	C_Arid5a	ARID5A	101A	C_ARID5A
Arnt_MA0004.1	C_Mlxip	ARNT	21A	C_HIF1A;HEY1
ARNT2_MA1464.2	C_ARNT2	ARNT2	21A	C_HIF1A;HEY1
ARNTHIF1A_MA0259.2	C_Mlxip	ARNT::HIF1A	21A	C_HIF1A;HEY1
Arntl_MA0603.2	C_ARNT2	ARNTL	21A	C_HIF1A;HEY1
Arx_MA0874.2	C_Alx4	ARX	22B	C_ALX1
ASCL1_MA1100.3	C_Twist2	ASCL1	6A	C_ASCL;MYOD1
ASCL1_MA1631.2	C_TCF3	ASCL1	6A	C_ASCL;MYOD1
Ascl2_MA0816.1	C_Twist2	ASCL2	6A	C_ASCL;MYOD1
Atf1_MA0604.1	C_FOSL1::JUND	ATF1	1A	C_ATF;FOS;JUN
ATF2_MA1632.2	C_FOSL2::JUN	ATF2	1A	C_ATF;FOS;JUN
ATF3_MA0605.3	C_FOSL2::JUN	ATF3	1A	C_ATF;FOS;JUN
Atf3_MA1988.2	C_FOS::JUND	ATF3	1A	C_ATF;FOS;JUN
ATF4_MA0833.3	C_CEBPG	ATF4	5A	C_CEBPA;DBP
ATF6_MA1466.2	C_CREB3	ATF6	13B	C_SREBF;CREB3
ATF7_MA0834.2	C_FOSL2::JUN	ATF7	1A	C_ATF;FOS;JUN
Atoh1_MA0461.3	C_Atoh1	ATOH1	6A	C_ASCL;MYOD1
Atoh1_MA1467.3	C_NEUROD1	ATOH1	6A	C_ASCL;MYOD1
ATOH7_MA1468.1	C_ATOH7	ATOH7	6A	C_ASCL;MYOD1
BACH1_MA1633.2	C_FOS::JUND	BACH1	1A	C_ATF;FOS;JUN
Bach1Mafk_MA0591.2	C_MAFG::NFE2L1	BACH1::MAFK	1A	C_ATF;FOS;JUN
BACH2_MA1101.3	C_FOS::JUND	BACH2	1A	C_ATF;FOS;JUN
BACH2_MA1470.2	C_BACH2	BACH2	1A	C_ATF;FOS;JUN
BARHL1_MA0877.4	C_BARHL1	BARHL1	10B	C_BARHL
BARHL2_MA0635.2	C_BARHL1	BARHL2	10B	C_BARHL
BARX1_MA0875.2	C_Dlx2	BARX1	3A	C_HOXB3;HOXA2;DLX
BARX2_MA1471.2	C_BARX2	BARX2	41A	C_LHX3;MEIS;HNF1A;POU4F3
BATF_MA1634.2	C_FOS::JUND	BATF	1A	C_ATF;FOS;JUN
BATF3_MA0835.3	C_FOS::JUND	BATF3	1A	C_ATF;FOS;JUN
BATFJUN_MA0462.3	C_FOS::JUND	BATF::JUN	1A	C_ATF;FOS;JUN
BCL11A_MA2324.1	C_BCL11A	BCL11A	60A	C_Bcl11B
Bcl11B_MA1989.2	C_Bcl11B	BCL11B	60A	C_Bcl11B
BCL6_MA0463.3	C_BCL6	BCL6	43A	C_BCL6;STAT4-6
BCL6B_MA0731.1	C_BCL6B	BCL6B	43A	C_BCL6;STAT4-6
BHLHA15_MA0607.2	C_ATOH7	BHLHA15	6A	C_ASCL;MYOD1
Bhlha15_MA1472.3	C_Twist2	BHLHA15	6A	C_ASCL;MYOD1
BHLHE22_MA0818.2	C_ATOH7	BHLHE22	6A	C_ASCL;MYOD1
BHLHE22_MA1635.2	C_Twist2	BHLHE22	6A	C_ASCL;MYOD1
BHLHE23_MA0817.2	C_ATOH7	BHLHE23	6A	C_ASCL;MYOD1
BHLHE40_MA0464.3	C_ARNT2	BHLHE40	21A	C_HIF1A;HEY1
BHLHE41_MA0636.1	C_BHLHE41	BHLHE41	21A	C_HIF1A;HEY1
BNC2_MA1928.2	C_FOS::JUND	BNC2	1A	C_ATF;FOS;JUN
BSX_MA0876.2	C_Dlx2	BSX	3A	C_HOXB3;HOXA2;DLX
CDX1_MA0878.3	C_HOXA10	CDX1	45A	C_HOXA10;HOXB13
CDX2_MA0465.3	C_HOXB13	CDX2	45A	C_HOXA10;HOXB13
CDX4_MA1473.2	C_HOXA10	CDX4	45A	C_HOXA10;HOXB13
CEBPA_MA0102.5	C_CEBPB	CEBPA	5A	C_CEBPA;DBP
CEBPB_MA0466.4	C_CEBPB	CEBPB	5A	C_CEBPA;DBP
CEBPD_MA0836.3	C_CEBPB	CEBPD	5A	C_CEBPA;DBP
CEBPE_MA0837.3	C_CEBPB	CEBPE	5A	C_CEBPA;DBP
CEBPG_MA0838.1	C_CEBPB	CEBPG	5A	C_CEBPA;DBP
CEBPG_MA1636.2	C_CEBPG	CEBPG	5A	C_CEBPA;DBP
CLOCK_MA0819.3	C_Mlxip	CLOCK	21A	C_HIF1A;HEY1
CREB1_MA0018.5	C_FOSL2::JUN	CREB1	1A	C_ATF;FOS;JUN
CREB3_MA0638.2	C_CREB3	CREB3	13B	C_SREBF;CREB3
CREB3L1_MA0839.2	C_CREB3	CREB3L1	13B	C_SREBF;CREB3
Creb3l2_MA0608.1	C_Creb3l2	CREB3L2	21A	C_HIF1A;HEY1
CREB3L4_MA1474.2	C_CREB3L4	CREB3L4	1A	C_ATF;FOS;JUN
CREB3L4_MA1475.2	C_FOSL2::JUN	CREB3L4	1A	C_ATF;FOS;JUN
Creb5_MA0840.2	C_FOSL2::JUN	CREB5	1A	C_ATF;FOS;JUN
CREM_MA0609.3	C_FOSL2::JUN	CREM	1A	C_ATF;FOS;JUN
Crx_MA0467.3	C_RHOXF1	CRX	29A	C_Dmbx1;DPRX
CTCF_MA0139.2	C_CTCF	CTCF	76A	C_CTCF
CTCF_MA1929.2	C_CTCF	CTCF	76A	C_CTCF
CTCF_MA1930.2	C_CTCF	CTCF	76A	C_CTCF
CTCFL_MA1102.3	C_CTCFL	CTCFL	62A	C_INSM1;CTCFL
CUX1_MA0754.3	C_ONECUT3	CUX1	35A	C_ONECUT1
CUX2_MA0755.2	C_ONECUT3	CUX2	35A	C_ONECUT1
DBP_MA0639.2	C_DBP	DBP	5A	C_CEBPA;DBP
Ddit3Cebpa_MA0019.2	C_Ddit3::Cebpa	DDIT3::CEBPA	5A	C_CEBPA;DBP
DLX1_MA0879.3	C_Dlx2	DLX1	3A	C_HOXB3;HOXA2;DLX
Dlx2_MA0885.3	C_Dlx2	DLX2	3A	C_HOXB3;HOXA2;DLX
Dlx3_MA0880.2	C_Dlx2	DLX3	3A	C_HOXB3;HOXA2;DLX
Dlx4_MA0881.2	C_Dlx2	DLX4	3A	C_HOXB3;HOXA2;DLX
Dlx5_MA1476.3	C_Dlx2	DLX5	3A	C_HOXB3;HOXA2;DLX
DLX6_MA0882.2	C_mix-a	DLX6	3A	C_HOXB3;HOXA2;DLX
Dmbx1_MA0883.2	C_RHOXF1	DMBX1	108A	C_DMBX1
Dmrt1_MA1603.2	C_Dmrt1	DMRT1	8A	C_SOX
DMRT3_MA0610.2	C_DMRT3	DMRT3	26A	C_DMRTC2
DMRTA1_MA1707.2	C_DMRTA1	DMRTA1	26A	C_DMRTC2
DMRTA2_MA1478.2	C_DMRTA2	DMRTA2	26A	C_DMRTC2
DMRTC2_MA1479.2	C_DMRTC2	DMRTC2	26A	C_DMRTC2
DPRX_MA1480.2	C_DPRX	DPRX	29A	C_Dmbx1;DPRX
DRGX_MA1481.2	C_mix-a	DRGX	3A	C_HOXB3;HOXA2;DLX
Dux_MA0611.3	C_Dux	DUX	68A	C_DUX;ZNF85
DUX4_MA0468.1	C_DUX4	DUX4	38A	C_DUX4;PHOX2A
DUXA_MA0884.2	C_DUXA	DUXA	38A	C_DUX4;PHOX2A
E2F1_MA0024.3	C_E2F4	E2F1	53A	C_E2F1-8
E2F2_MA0864.3	C_E2F4	E2F2	53A	C_E2F1-8
E2F3_MA0469.4	C_E2F3	E2F3	53A	C_E2F1-8
E2F4_MA0470.3	C_E2F4	E2F4	53A	C_E2F1-8
E2F6_MA0471.3	C_E2F6	E2F6	53A	C_E2F1-8
E2F7_MA0758.1	C_E2F7	E2F7	53A	C_E2F1-8
E2F8_MA0865.3	C_E2F8	E2F8	53A	C_E2F1-8
EBF1_MA0154.5	C_EBF1	EBF1	7A	C_EBF;TFAP2
Ebf2_MA1604.2	C_EBF3	EBF2	7A	C_EBF;TFAP2
EBF3_MA1637.2	C_EBF3	EBF3	7A	C_EBF;TFAP2
Ebf4_MA2122.1	C_EBF1	EBF4	7A	C_EBF;TFAP2
EGR1_MA0162.5	C_EGR1	EGR1	27A	C_EGR1;KLF;SP;ZNF
EGR2_MA0472.2	C_EGR1	EGR2	27A	C_EGR1;KLF;SP;ZNF
EGR3_MA0732.2	C_EGR1	EGR3	27A	C_EGR1;KLF;SP;ZNF
EGR4_MA0733.2	C_EGR1	EGR4	27A	C_EGR1;KLF;SP;ZNF
EHF_MA0598.4	C_GABPA	EHF	9A	C_ELF;ETS;ELK
ELF1_MA0473.4	C_GABPA	ELF1	9A	C_ELF;ETS;ELK
ELF2_MA1483.3	C_ELF2	ELF2	9A	C_ELF;ETS;ELK
ELF3_MA0640.3	C_GABPA	ELF3	9A	C_ELF;ETS;ELK
ELF4_MA0641.1	C_ELF2	ELF4	9A	C_ELF;ETS;ELK
Elf5_MA0136.4	C_IKZF2	ELF5	9A	C_ELF;ETS;ELK
ELK1_MA0028.3	C_ETS1	ELK1	9A	C_ELF;ETS;ELK
ELK1HOXA1_MA1931.1	C_ELK1::HOXA1	ELK1::HOXA1	9A	C_ELF;ETS;ELK
ELK1HOXB13_MA1932.2	C_ELK1::HOXB13	ELK1::HOXB13	9A	C_ELF;ETS;ELK
ELK1SREBF2_MA1933.2	C_ELK1::SREBF2	ELK1::SREBF2	9A	C_ELF;ETS;ELK
ELK3_MA0759.3	C_ETS1	ELK3	9A	C_ELF;ETS;ELK
ELK4_MA0076.3	C_ETS1	ELK4	9A	C_ELF;ETS;ELK
EMX1_MA0612.3	C_mix-a	EMX1	3A	C_HOXB3;HOXA2;DLX
EMX2_MA0886.2	C_mix-a	EMX2	3A	C_HOXB3;HOXA2;DLX
EN1_MA0027.3	C_mix-a	EN1	3A	C_HOXB3;HOXA2;DLX
EN2_MA0642.3	C_PRRX2	EN2	3A	C_HOXB3;HOXA2;DLX
EOMES_MA0800.2	C_TBX2	EOMES	13A	C_EOMES;TBX
EPAS1_MA2325.1	C_EPAS1	EPAS1	13B	C_SREBF;CREB3
ERF_MA0760.2	C_ETS1	ERF	9A	C_ELF;ETS;ELK
ERFFIGLA_MA1934.2	C_ETV5::FIGLA	ERF::FIGLA	40A	C_ETV2;FIGLA
ERFFOXI1_MA1935.2	C_ETV2::FOXI1	ERF::FOXI1	9A	C_ELF;ETS;ELK
ERFFOXO1_MA1936.2	C_FOXO1::ELK1	ERF::FOXO1	9A	C_ELF;ETS;ELK
ERFHOXB13_MA1937.2	C_ERF::HOXB13	ERF::HOXB13	9A	C_ELF;ETS;ELK
ERFNHLH1_MA1938.2	C_ERF::NHLH1	ERF::NHLH1	96A	C_ERF;NHLH1
ERFSREBF2_MA1939.2	C_ERF::SREBF2	ERF::SREBF2	9A	C_ELF;ETS;ELK
Erg_MA0474.4	C_GABPA	ERG	9A	C_ELF;ETS;ELK
ESR1_MA0112.4	C_ESR2	ESR1	59A	C_PPARG;ESR
ESR2_MA0258.2	C_ESR2	ESR2	59A	C_PPARG;ESR
ESRRA_MA0592.4	C_Nr1h3	ESRRA	4A	C_NR1H2;PPARA
ESRRB_MA0141.4	C_ESRRB	ESRRB	4A	C_NR1H2;PPARA
Esrrg_MA0643.2	C_Nr1h3	ESRRG	4A	C_NR1H2;PPARA
ESX1_MA0644.3	C_mix-a	ESX1	3A	C_HOXB3;HOXA2;DLX
ETS1_MA0098.4	C_ETS1	ETS1	9A	C_ELF;ETS;ELK
ETS2_MA1484.2	C_ETS1	ETS2	9A	C_ELF;ETS;ELK
ETV1_MA0761.3	C_GABPA	ETV1	9A	C_ELF;ETS;ELK
ETV2_MA0762.2	C_ETS1	ETV2	9A	C_ELF;ETS;ELK
ETV2DRGX_MA1940.2	C_ETV5::DRGX	ETV2::DRGX	9A	C_ELF;ETS;ELK
ETV2FIGLA_MA1941.2	C_ETV5::FIGLA	ETV2::FIGLA	40A	C_ETV2;FIGLA
ETV2FOXI1_MA1942.2	C_ETV2::FOXI1	ETV2::FOXI1	9A	C_ELF;ETS;ELK
ETV2HOXB13_MA1943.2	C_ETV2::HOXB13	ETV2::HOXB13	9A	C_ELF;ETS;ELK
ETV3_MA0763.2	C_ETS1	ETV3	9A	C_ELF;ETS;ELK
ETV4_MA0764.4	C_ETS1	ETV4	9A	C_ELF;ETS;ELK
ETV5_MA0765.4	C_ETS1	ETV5	9A	C_ELF;ETS;ELK
ETV5DRGX_MA1944.2	C_ETV5::DRGX	ETV5::DRGX	9A	C_ELF;ETS;ELK
ETV5FIGLA_MA1945.2	C_ETV5::FIGLA	ETV5::FIGLA	40A	C_ETV2;FIGLA
ETV5FOXI1_MA1946.2	C_FOXO1::ELK1	ETV5::FOXI1	9A	C_ELF;ETS;ELK
ETV5FOXO1_MA1947.2	C_ETV5::FOXO1	ETV5::FOXO1	9A	C_ELF;ETS;ELK
ETV5HOXA2_MA1948.2	C_ETV5::HOXA2	ETV5::HOXA2	9A	C_ELF;ETS;ELK
ETV6_MA0645.2	C_GABPA	ETV6	9A	C_ELF;ETS;ELK
ETV7_MA1708.2	C_GABPA	ETV7	9A	C_ELF;ETS;ELK
EVX1_MA0887.2	C_mix-a	EVX1	3A	C_HOXB3;HOXA2;DLX
EVX2_MA0888.2	C_mix-a	EVX2	3A	C_HOXB3;HOXA2;DLX
EWSR1-FLI1_MA0149.1	C_EWSR1-FLI1	EWSR1::FLI1	90A	C_EWSR1-FLI1
FERD3L_MA1485.1	C_FERD3L	FERD3L	6A	C_ASCL;MYOD1
FEV_MA0156.4	C_ETS1	FEV	9A	C_ELF;ETS;ELK
FEZF2_MA2341.1	C_FEZF2	FEZF2	#N/A	#N/A
FIGLA_MA0820.2	C_TCF3	FIGLA	6A	C_ASCL;MYOD1
FLI1_MA0475.3	C_ETS1	FLI1	9A	C_ELF;ETS;ELK
FLI1DRGX_MA1949.2	C_FLI1::DRGX	FLI1::DRGX	9A	C_ELF;ETS;ELK
FLI1FOXI1_MA1950.2	C_ETV2::FOXI1	FLI1::FOXI1	9A	C_ELF;ETS;ELK
FOS_MA0476.2	C_FOS::JUND	FOS	1A	C_ATF;FOS;JUN
FOS_MA1951.2	C_FOSL2::JUN	FOS	1A	C_ATF;FOS;JUN
FOSBJUN_MA1127.1	C_FOSL2::JUN	FOSB::JUN	1A	C_ATF;FOS;JUN
FOSBJUNB_MA1135.2	C_FOS::JUND	FOSB::JUNB	1A	C_ATF;FOS;JUN
FOSBJUNB_MA1136.1	C_FOSL2::JUN	FOSB::JUNB	1A	C_ATF;FOS;JUN
FOSJUN_MA0099.4	C_FOS::JUND	FOS::JUN	1A	C_ATF;FOS;JUN
FOSJUN_MA1126.2	C_FOSL2::JUN	FOS::JUN	1A	C_ATF;FOS;JUN
FOSJUNB_MA1134.2	C_FOS::JUND	FOS::JUNB	1A	C_ATF;FOS;JUN
FOSJUND_MA1141.2	C_FOS::JUND	FOS::JUND	1A	C_ATF;FOS;JUN
FOSL1_MA0477.3	C_FOS::JUND	FOSL1	1A	C_ATF;FOS;JUN
FOSL1JUN_MA1128.2	C_FOS::JUND	FOSL1::JUN	1A	C_ATF;FOS;JUN
FOSL1JUN_MA1129.1	C_FOSL2::JUN	FOSL1::JUN	1A	C_ATF;FOS;JUN
FOSL1JUNB_MA1137.2	C_FOS::JUND	FOSL1::JUNB	1A	C_ATF;FOS;JUN
FOSL1JUND_MA1142.2	C_FOS::JUND	FOSL1::JUND	1A	C_ATF;FOS;JUN
FOSL1JUND_MA1143.2	C_FOSL1::JUND	FOSL1::JUND	1A	C_ATF;FOS;JUN
FOSL2_MA0478.2	C_FOS::JUND	FOSL2	1A	C_ATF;FOS;JUN
FOSL2JUN_MA1130.2	C_FOS::JUND	FOSL2::JUN	1A	C_ATF;FOS;JUN
FOSL2JUN_MA1131.2	C_FOSL2::JUN	FOSL2::JUN	1A	C_ATF;FOS;JUN
FOSL2JUNB_MA1138.2	C_FOS::JUND	FOSL2::JUNB	1A	C_ATF;FOS;JUN
FOSL2JUNB_MA1139.2	C_FOSL2::JUN	FOSL2::JUNB	1A	C_ATF;FOS;JUN
FOSL2JUND_MA1144.2	C_FOS::JUND	FOSL2::JUND	1A	C_ATF;FOS;JUN
FOSL2JUND_MA1145.2	C_FOSL2::JUN	FOSL2::JUND	1A	C_ATF;FOS;JUN
FOXA1_MA0148.5	C_FOXP4	FOXA1	10A	C_FOX
FOXA2_MA0047.4	C_FOXP4	FOXA2	10A	C_FOX
FOXA3_MA1683.2	C_FOXP4	FOXA3	10A	C_FOX
FOXB1_MA0845.1	C_FOXC2	FOXB1	10A	C_FOX
FOXC1_MA0032.2	C_FOXC2	FOXC1	10A	C_FOX
FOXC2_MA0846.2	C_FOXC2	FOXC2	10A	C_FOX
FOXD1_MA0031.2	C_FOXP4	FOXD1	10A	C_FOX
FOXD2_MA0847.4	C_FOXE1	FOXD2	10A	C_FOX
FOXD3_MA0041.3	C_FOXD3	FOXD3	10A	C_FOX
FOXE1_MA1487.3	C_FOXE1	FOXE1	10A	C_FOX
Foxf1_MA1606.2	C_FOXP4	FOXF1	10A	C_FOX
FOXF2_MA0030.2	C_FOXP4	FOXF2	10A	C_FOX
FOXG1_MA0613.1	C_FOXP4	FOXG1	10A	C_FOX
FOXH1_MA0479.2	C_FOXH1	FOXH1	29A	C_Dmbx1;DPRX
FOXI1_MA0042.2	C_FOXP4	FOXI1	10A	C_FOX
Foxj2_MA0614.1	C_FOXP4	FOXJ2	10A	C_FOX
FOXJ2ELF1_MA1952.2	C_ETV2::FOXI1	FOXJ2::ELF1	9A	C_ELF;ETS;ELK
Foxj3_MA0851.2	C_FOXP4	FOXJ3	10A	C_FOX
FOXK1_MA0852.3	C_FOXP4	FOXK1	10A	C_FOX
FOXK2_MA1103.3	C_FOXP4	FOXK2	10A	C_FOX
FOXL1_MA0033.2	C_FOXP4	FOXL1	10A	C_FOX
Foxl2_MA1607.2	C_FOXP4	FOXL2	10A	C_FOX
Foxn1_MA1684.1	C_Foxn1	FOXN1	110A	C_FOXN1
FOXN3_MA1489.1	C_FOXN3	FOXN3	10A	C_FOX
Foxo1_MA0480.3	C_FOXP4	FOXO1	10A	C_FOX
FOXO1ELF1_MA1953.2	C_FOXO1::ELK1	FOXO1::ELF1	9A	C_ELF;ETS;ELK
FOXO1ELK1_MA1954.2	C_FOXO1::ELK1	FOXO1::ELK1	9A	C_ELF;ETS;ELK
FOXO1ELK3_MA1955.2	C_FOXO1::ELK1	FOXO1::ELK3	9A	C_ELF;ETS;ELK
FOXO1FLI1_MA1956.2	C_FOXO1::ELK1	FOXO1::FLI1	9A	C_ELF;ETS;ELK
Foxo3_MA0157.4	C_FOXP4	FOXO3	10A	C_FOX
FOXO4_MA0848.1	C_FOXP4	FOXO4	10A	C_FOX
FOXO6_MA0849.1	C_FOXP4	FOXO6	10A	C_FOX
FOXP1_MA0481.4	C_FOXP4	FOXP1	10A	C_FOX
FOXP2_MA0593.2	C_FOXP4	FOXP2	10A	C_FOX
FOXP3_MA0850.1	C_FOXP4	FOXP3	10A	C_FOX
FOXP4_MA2117.1	C_FOXP4	FOXP4	10A	C_FOX
Foxq1_MA0040.2	C_Foxq1	FOXQ1	10A	C_FOX
FOXS1_MA2118.1	C_FOXP4	FOXS1	10A	C_FOX
GABPA_MA0062.4	C_GABPA	GABPA	9A	C_ELF;ETS;ELK
GATA1_MA0035.5	C_Gata3	GATA1	11A	C_GATA
GATA1TAL1_MA0140.3	C_GATA1::TAL1	GATA1::TAL1	120A	C_GATA1;TAL1
GATA2_MA0036.4	C_Gata3	GATA2	11A	C_GATA
Gata3_MA0037.5	C_Gata3	GATA3	11A	C_GATA
GATA4_MA0482.3	C_Gata3	GATA4	11A	C_GATA
GATA5_MA0766.3	C_Gata3	GATA5	11A	C_GATA
GATA6_MA1104.3	C_Gata3	GATA6	11A	C_GATA
GBX1_MA0889.2	C_PRRX2	GBX1	3A	C_HOXB3;HOXA2;DLX
GBX2_MA0890.2	C_Dlx2	GBX2	3A	C_HOXB3;HOXA2;DLX
GCM1_MA0646.2	C_GCM1	GCM1	52A	C_GCM1;GCM2
GCM2_MA0767.2	C_GCM2	GCM2	52A	C_GCM1;GCM2
GFI1_MA0038.3	C_GFI1	GFI1	55A	C_GFI1
Gfi1B_MA0483.2	C_Gfi1B	GFI1B	55A	C_GFI1
Gli1_MA1990.2	C_Gli2	GLI1	36A	C_GLI1
Gli2_MA0734.4	C_Gli2	GLI2	36A	C_GLI1
GLI3_MA1491.3	C_GLI3	GLI3	46A	C_ZIC1;GLI;GLIS1-3
GLIS1_MA0735.2	C_GLIS1	GLIS1	46A	C_ZIC1;GLI;GLIS1-3
GLIS2_MA0736.1	C_GLIS2	GLIS2	46A	C_ZIC1;GLI;GLIS1-3
GLIS3_MA0737.1	C_GLIS3	GLIS3	46A	C_ZIC1;GLI;GLIS1-3
Gmeb1_MA0615.2	C_GMEB2	GMEB1	106A	C_GMEB1
GMEB2_MA0862.1	C_GMEB2	GMEB2	1A	C_ATF;FOS;JUN
GRHL1_MA0647.2	C_GRHL1	GRHL1	33B	C_GRHL2
GRHL2_MA1105.3	C_GRHL2	GRHL2	33B	C_GRHL2
GSC_MA0648.2	C_RHOXF1	GSC	29A	C_Dmbx1;DPRX
GSC2_MA0891.2	C_RHOXF1	GSC2	29A	C_Dmbx1;DPRX
GSX1_MA0892.2	C_mix-a	GSX1	3A	C_HOXB3;HOXA2;DLX
GSX2_MA0893.3	C_mix-a	GSX2	3A	C_HOXB3;HOXA2;DLX
Hand1_MA2123.1	C_Hand1	HAND1	64A	C_HAND1;TCF3;SMAD2
Hand1Tcf3_MA0092.2	C_Hand1::Tcf3	HAND1::TCF3	64A	C_HAND1;TCF3;SMAD2
HAND2_MA1638.2	C_NEUROD1	HAND2	6A	C_ASCL;MYOD1
HES1_MA1099.3	C_ARNT2	HES1	21A	C_HIF1A;HEY1
HES2_MA0616.3	C_Mlxip	HES2	21A	C_HIF1A;HEY1
HES5_MA0821.2	C_Mlxip	HES5	21A	C_HIF1A;HEY1
HES6_MA1493.1	C_HES6	HES6	21A	C_HIF1A;HEY1
HES7_MA0822.1	C_HES7	HES7	21A	C_HIF1A;HEY1
HESX1_MA0894.2	C_mix-a	HESX1	3A	C_HOXB3;HOXA2;DLX
HEY1_MA0823.1	C_Mlxip	HEY1	21A	C_HIF1A;HEY1
HEY2_MA0649.2	C_Mlxip	HEY2	21A	C_HIF1A;HEY1
Hic1_MA0739.2	C_Hic1	HIC1	49A	C_NFIA;HIC
HIC2_MA0738.2	C_HIC2	HIC2	49A	C_NFIA;HIC
HIF1A_MA1106.2	C_Mlxip	HIF1A	21A	C_HIF1A;HEY1
HINFP_MA0131.3	C_HINFP	HINFP	116A	C_HINFP
HLF_MA0043.4	C_DBP	HLF	5A	C_CEBPA;DBP
HMBOX1_MA0895.2	C_HMBOX1	HMBOX1	81A	C_HMBOX1;ZNF652
Hmga1_MA2124.1	C_Hmga1	HMGA1	#N/A	#N/A
Hmx1_MA0896.2	C_Hmx3	HMX1	22A	C_HMX3
Hmx2_MA0897.2	C_Hmx3	HMX2	22A	C_HMX3
Hmx3_MA0898.2	C_Hmx3	HMX3	22A	C_HMX3
HNF1A_MA0046.3	C_HNF1A	HNF1A	4A	C_NR1H2;PPARA
Hnf1A_MA1991.2	C_Hnf1A	HNF1A	4A	C_NR1H2;PPARA
HNF1B_MA0153.2	C_HNF1A	HNF1B	41A	C_LHX3;MEIS;HNF1A;POU4F3
HNF4A_MA0114.5	C_HNF4G	HNF4A	18A	C_HNF4A
HNF4A_MA1494.2	C_HNF4A	HNF4A	18A	C_HNF4A
HNF4G_MA0484.3	C_HNF4G	HNF4G	18A	C_HNF4A
HOXA1_MA1495.2	C_mix-a	HOXA1	3A	C_HOXB3;HOXA2;DLX
HOXA10_MA0899.2	C_HOXA10	HOXA10	45A	C_HOXA10;HOXB13
Hoxa11_MA0911.2	C_HOXC10	HOXA11	12A	C_HOX
Hoxa13_MA0650.4	C_HOXB13	HOXA13	45A	C_HOXA10;HOXB13
HOXA2_MA0900.3	C_mix-a	HOXA2	3A	C_HOXB3;HOXA2;DLX
HOXA3_MA2119.1	C_mix-a	HOXA3	3A	C_HOXB3;HOXA2;DLX
HOXA4_MA1496.2	C_HOXB4	HOXA4	3A	C_HOXB3;HOXA2;DLX
HOXA5_MA0158.2	C_HOXB7	HOXA5	3A	C_HOXB3;HOXA2;DLX
HOXA6_MA1497.2	C_HOXB7	HOXA6	3A	C_HOXB3;HOXA2;DLX
HOXA7_MA1498.3	C_Dlx2	HOXA7	3A	C_HOXB3;HOXA2;DLX
HOXA9_MA0594.3	C_HOXA9	HOXA9	12A	C_HOX
HOXB1_MA2093.1	C_mix-a	HOXB1	3A	C_HOXB3;HOXA2;DLX
HOXB13_MA0901.3	C_HOXB13	HOXB13	45A	C_HOXA10;HOXB13
HOXB2_MA0902.3	C_mix-a	HOXB2	3A	C_HOXB3;HOXA2;DLX
HOXB2ELK1_MA1957.1	C_FLI1::DRGX	HOXB2::ELK1	9A	C_ELF;ETS;ELK
HOXB3_MA0903.2	C_mix-a	HOXB3	3A	C_HOXB3;HOXA2;DLX
HOXB4_MA1499.2	C_HOXB4	HOXB4	3A	C_HOXB3;HOXA2;DLX
HOXB5_MA0904.3	C_mix-a	HOXB5	3A	C_HOXB3;HOXA2;DLX
HOXB6_MA1500.2	C_HOXB7	HOXB6	3A	C_HOXB3;HOXA2;DLX
HOXB7_MA1501.2	C_HOXB7	HOXB7	3A	C_HOXB3;HOXA2;DLX
HOXB8_MA1502.2	C_HOXB7	HOXB8	3A	C_HOXB3;HOXA2;DLX
HOXB9_MA1503.2	C_HOXC10	HOXB9	12A	C_HOX
HOXC10_MA0905.2	C_HOXC10	HOXC10	12A	C_HOX
HOXC11_MA0651.3	C_HOXC10	HOXC11	12A	C_HOX
HOXC12_MA0906.2	C_HOXC10	HOXC12	12A	C_HOX
HOXC13_MA0907.2	C_HOXC13	HOXC13	12A	C_HOX
HOXC4_MA1504.2	C_HOXB4	HOXC4	3A	C_HOXB3;HOXA2;DLX
HOXC8_MA1505.2	C_mix-a	HOXC8	3A	C_HOXB3;HOXA2;DLX
HOXC9_MA0485.3	C_HOXC10	HOXC9	12A	C_HOX
HOXD10_MA1506.2	C_HOXC10	HOXD10	12A	C_HOX
HOXD11_MA0908.2	C_HOXC10	HOXD11	12A	C_HOX
HOXD12_MA0873.2	C_HOXC10	HOXD12	12A	C_HOX
HOXD12ELK1_MA1958.2	C_HOXD12::ELK1	HOXD12::ELK1	9A	C_ELF;ETS;ELK
Hoxd13_MA0909.4	C_HOXB13	HOXD13	45A	C_HOXA10;HOXB13
HOXD3_MA0912.2	C_mix-a	HOXD3	3A	C_HOXB3;HOXA2;DLX
HOXD4_MA1507.2	C_mix-a	HOXD4	3A	C_HOXB3;HOXA2;DLX
