motif	cluster	gene_symbol
FOSL2JUND_MA1144.2	C_FOS::JUND	Fosl2::Jund
FOSL2JUND_MA1145.2	C_FOSL2::JUN	Fosl2::Jund
FOXA1_MA0148.5	C_FOXP4	Foxa1
FOXA2_MA0047.4	C_FOXP4	Foxa2
FOXA3_MA1683.2	C_FOXP4	Foxa3
FOXB1_MA0845.1	C_FOXC2	Foxb1
FOXC1_MA0032.2	C_FOXC2	Foxc1
FOXC2_MA0846.2	C_FOXC2	Foxc2
FOXD1_MA0031.2	C_FOXP4	Foxd1
FOXD2_MA0847.4	C_FOXE1	Foxd2
FOXD3_MA0041.3	C_FOXD3	Foxd3
FOXE1_MA1487.3	C_FOXE1	Foxe1
Foxf1_MA1606.2	C_FOXP4	Foxf1
FOXF2_MA0030.2	C_FOXP4	Foxf2
FOXG1_MA0613.1	C_FOXP4	Foxg1
FOXH1_MA0479.2	C_FOXH1	Foxh1
FOXI1_MA0042.2	C_FOXP4	Foxi1
Foxj2_MA0614.1	C_FOXP4	Foxj2
FOXJ2ELF1_MA1952.2	C_ETV2::FOXI1	Foxj2::Elf1
Foxj3_MA0851.2	C_FOXP4	Foxj3
FOXK1_MA0852.3	C_FOXP4	Foxk1
FOXK2_MA1103.3	C_FOXP4	Foxk2
FOXL1_MA0033.2	C_FOXP4	Foxl1
Foxl2_MA1607.2	C_FOXP4	Foxl2
Foxn1_MA1684.1	C_Foxn1	Foxn1
FOXN3_MA1489.1	C_FOXN3	Foxn3
Foxo1_MA0480.3	C_FOXP4	Foxo1
FOXO1ELF1_MA1953.2	C_FOXO1::ELK1	Foxo1::Elf1
FOXO1ELK1_MA1954.2	C_FOXO1::ELK1	Foxo1::Elk1
FOXO1ELK3_MA1955.2	C_FOXO1::ELK1	Foxo1::Elk3
FOXO1FLI1_MA1956.2	C_FOXO1::ELK1	Foxo1::Fli1
Foxo3_MA0157.4	C_FOXP4	Foxo3
FOXO4_MA0848.1	C_FOXP4	Foxo4
FOXO6_MA0849.1	C_FOXP4	Foxo6
